net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_0010_","OK","0.17775399999999972","0.020933424838389347","58.191500000000005","32.498","0.06099999999999994","2.913999999999998","5.949999999999996","58.222","58.161","33.955","31.041","0","5.479999999999997","5.479999999999997","5.479999999999997","5.0048","0","0","0","0","1","0","0","2.974999999999998","0","0","0","0","0","2","_6862c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_6862c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.479999999999997","1","5.479999999999997","5.479999999999997","5.479999999999997","61.18","31.28","61.18","31.28","0","0","0","1","61.18","","31.28","","2"
"_0011_","OK","16.739513000000002","1.9538776898005208","52.7405","65.4145","5.719000000000001","2.9269999999999996","17.292","55.6","49.881","66.878","63.951","0","5.020000000000003","5.020000000000003","5.020000000000003","5.0048","0","0","0","0","1","0","0","8.646","0","0","0","0","0","2","_e062c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_e062c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.020000000000003","1","5.020000000000003","5.020000000000003","5.020000000000003","52.9","66.64","52.9","66.64","1","0","0","0","52.9","","66.64","","2"
"_0012_","OK","10.471888","1.639889196026952","57.929","30.0615","4.143999999999998","2.527000000000001","13.341999999999999","60.001","55.857","31.325","28.798","0","10.080000000000009","10.080000000000009","10.080000000000009","5.0048","0","0","0","0","1","0","0","6.670999999999999","0","0","0","0","0","2","_5863c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_5863c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","10.080000000000009","1","10.080000000000009","10.080000000000009","10.080000000000009","63.02","28.56","63.02","28.56","0","0","0","1","63.02","","28.56","","2"
"_0013_","OK","3.2442810000000057","0.6032772744272195","62.0805","51.7175","1.399000000000001","2.3190000000000026","7.436000000000007","62.78","61.381","52.877","50.558","0","5.710000000000008","5.710000000000008","5.710000000000008","8.758400000000002","0","0","0","0","1","0","0","3.7180000000000035","0","0","0","0","0","2","_d063c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_d063c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.710000000000008","1","5.710000000000008","5.710000000000008","5.710000000000008","64.4","50.32","64.4","50.32","0","0","0","1","64.4","","50.32","","2"
"_0014_","OK","3.4847280000000076","0.5656728442523493","61.623000000000005","95.319","1.4040000000000035","2.4819999999999993","7.772000000000006","62.325","60.921","96.56","94.078","0","3.1799999999999997","3.1799999999999997","3.1799999999999997","7.5072","0","0","0","0","1","0","0","3.886000000000003","0","0","0","0","0","2","_4864c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_4864c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","3.1799999999999997","1","3.1799999999999997","3.1799999999999997","3.1799999999999997","63.94","93.84","63.94","93.84","0","0","0","1","63.94","","93.84","","2"
"_0015_","OK","6.149626999999982","0.7177997947667252","58.4905","70.8545","2.100999999999999","2.9269999999999925","10.055999999999983","59.541","57.44","72.318","69.391","0","8.240000000000002","8.240000000000002","8.240000000000002","5.0048","0","0","0","0","1","0","0","5.027999999999992","0","0","0","0","0","2","_c064c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_c064c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","8.240000000000002","1","8.240000000000002","8.240000000000002","8.240000000000002","62.56","72.08","62.56","72.08","1","0","0","0","62.56","","72.08","","2"
"_0016_","OK","103.39630999999996","0.3865484561059887","56.319","72.26249999999999","6.321999999999996","16.355000000000004","45.354","59.48","53.158","80.44","64.085","0","18.61999999999999","15.939999999999994","31.87999999999999","7.5072","0","0","0","0","2","0","0","22.677","0","0","0","0","0","3","_3865c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","2","_3865c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","16.2656","8.7584","32.5312","13.639999999999993","2","13.259999999999998","18.61999999999999","18.61999999999999","60.26","80.24","50.14","69.36","1","0","1","0","55.2","5.059999999999999","74.8","5.439999999999998","3"
"_0017_","OK","10.38453099999997","1.5047582788333629","58.4845","100.44749999999999","3.952999999999996","2.6269999999999953","13.159999999999982","60.461","56.508","101.761","99.134","0","10.309999999999995","10.309999999999995","10.309999999999995","6.256","0","0","0","0","1","0","0","6.579999999999991","0","0","0","0","0","2","_b065c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_b065c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","10.309999999999995","1","10.309999999999995","10.309999999999995","10.309999999999995","63.48","102.0","63.48","102.0","1","0","0","0","63.48","","102.0","","2"
"_0018_","OK","18.591162000000153","0.008649324877946467","56.061499999999995","37.902","0.40100000000000335","46.361999999999995","93.526","56.262","55.861","61.083","14.721","0","49.46","49.46","49.46","3.7536","0","0","0","0","1","0","0","46.763","0","0","0","0","0","2","_2866c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_2866c6d82e5a0000_p_odb__dbNet","0.0","28.777600000000003","0.0","28.777600000000003","28.777600000000003","","28.777600000000003","49.46","1","49.46","49.46","49.46","59.57","14.96","59.57","14.96","0","0","0","1","59.57","","14.96","","2"
"_0019_","OK","12.946284999999877","0.012420628774588065","57.9015","28.6205","0.40099999999999625","32.285","65.37199999999999","58.102","57.701","44.763","12.478","0","35.17","35.17","35.17","3.7536","0","0","0","0","1","0","0","32.68599999999999","0","0","0","0","0","2","_a066c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_a066c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","35.17","1","35.17","35.17","35.17","60.72","12.24","60.72","12.24","0","0","0","1","60.72","","12.24","","2"
"_0020_","OK","35.24819199999999","0.5138855348329047","47.869","122.22200000000001","4.256","8.281999999999996","25.075999999999993","49.997","45.741","126.363","118.081","0","9.31000000000001","9.31000000000001","9.31000000000001","3.7536","0","0","0","0","1","0","0","12.537999999999997","0","0","0","0","0","2","_1867c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_1867c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","9.31000000000001","1","9.31000000000001","9.31000000000001","9.31000000000001","48.76","118.32","48.76","118.32","0","0","0","1","48.76","","118.32","","2"
"_0021_","OK","6.085127999999994","0.9751801437249088","48.72","62.432","2.436","2.4979999999999976","9.867999999999995","49.938","47.502","63.681","61.183","0","3.1799999999999997","3.1799999999999997","3.1799999999999997","5.0048","0","0","0","0","1","0","0","4.9339999999999975","0","0","0","0","0","2","_9067c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_9067c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","3.1799999999999997","1","3.1799999999999997","3.1799999999999997","3.1799999999999997","46.92","63.92","46.92","63.92","0","1","0","0","46.92","","63.92","","2"
"_0022_","OK","15.746612000000011","0.5549089542791619","53.397","139.9785","2.956000000000003","5.326999999999998","16.566000000000003","54.875","51.919","142.642","137.315","0","11.649999999999991","11.649999999999991","11.649999999999991","5.0048","0","0","0","0","1","0","0","8.283000000000001","0","0","0","0","0","2","_0868c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_0868c6d82e5a0000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","11.649999999999991","1","11.649999999999991","11.649999999999991","11.649999999999991","57.73","137.36","57.73","137.36","0","0","0","1","57.73","","137.36","","2"
"_0023_","OK","5.004927999999995","0.19032761306740864","60.49","115.517","0.9759999999999991","5.128","12.207999999999998","60.978","60.002","118.081","112.953","0","8.43","8.43","8.43","6.256","0","0","0","0","1","0","0","6.103999999999999","0","0","0","0","0","2","_8068c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_8068c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","8.43","1","8.43","8.43","8.43","57.96","118.32","57.96","118.32","0","1","0","0","57.96","","118.32","","2"
"_0024_","OK","0.3091680000000115","59.638888060568696","43.988","44.799","4.293999999999997","0.07200000000000273","8.732","46.135","41.841","44.835","44.763","0","7.359999999999999","7.359999999999999","7.359999999999999","3.7536","0","0","0","1","1","0","0","4.366","0","0","0","0","0","2","_f868c6d82e5a0000_p_Net","0","0","0","1","1","0","1","0","0","0","1","_f868c6d82e5a0000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","7.359999999999999","1","7.359999999999999","7.359999999999999","7.359999999999999","48.99","44.88","48.99","44.88","1","0","0","0","48.99","","44.88","","2"
"_0025_","OK","0.17423400000001246","34.56337979487952","34.328","42.2405","2.4540000000000006","0.07100000000000506","5.050000000000011","35.555","33.101","42.276","42.205","0","5.519999999999996","5.519999999999996","5.519999999999996","3.7536","0","0","0","1","1","0","0","2.5250000000000057","0","0","0","0","0","2","_7069c6d82e5a0000_p_Net","0","0","0","1","1","0","1","0","0","0","1","_7069c6d82e5a0000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","5.519999999999996","1","5.519999999999996","5.519999999999996","5.519999999999996","38.41","42.16","38.41","42.16","0","0","0","1","38.41","","42.16","","2"
"_0026_","OK","62.03999999999985","8.901515148143387","21.045","40.715","23.5","2.6399999999999935","52.27999999999999","32.795","9.295","42.035","39.395","0","29.86","29.86","29.86","6.256","0","0","0","0","1","0","0","26.139999999999993","0","0","0","0","0","2","_e869c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_e869c6d82e5a0000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","29.86","1","29.86","29.86","29.86","35.65","39.44","35.65","39.44","0","0","0","1","35.65","","39.44","","2"
"_0027_","OK","60.115440000000014","8.625378784611597","20.9495","35.445","22.771","2.6400000000000006","50.822","32.335","9.564","36.765","34.125","0","27.559999999999995","27.559999999999995","27.559999999999995","6.256","0","0","0","0","1","0","0","25.411","0","0","0","0","0","2","_606ac6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_606ac6d82e5a0000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","27.559999999999995","1","27.559999999999995","27.559999999999995","27.559999999999995","35.19","36.72","35.19","36.72","1","0","0","0","35.19","","36.72","","2"
"_0028_","OK","10.285448000000045","0.08211222300910398","43.441500000000005","44.962","0.919000000000004","11.192","24.22200000000001","43.901","42.982","50.558","39.366","0","13.870000000000005","13.870000000000005","13.870000000000005","6.256","0","0","0","0","1","0","0","12.111000000000004","0","0","0","0","0","2","_d86ac6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_d86ac6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","13.870000000000005","1","13.870000000000005","13.870000000000005","13.870000000000005","46.92","50.32","46.92","50.32","1","0","0","0","46.92","","50.32","","2"
"_0029_","OK","3.4424999999999795","0.030494117644188606","44.659","42.0485","0.32399999999999807","10.625","21.897999999999996","44.821","44.497","47.361","36.736","0","14.100000000000009","14.100000000000009","14.100000000000009","5.0048","0","0","0","0","1","0","0","10.948999999999998","0","0","0","0","0","2","_506bc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_506bc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","14.100000000000009","1","14.100000000000009","14.100000000000009","14.100000000000009","47.84","47.6","47.84","47.6","1","0","0","0","47.84","","47.6","","2"
"_0030_","OK","8.507333999999997","0.881841596625291","46.8865","40.84","2.738999999999997","3.1060000000000016","11.689999999999998","48.256","45.517","42.393","39.287","0","3.8699999999999974","3.8699999999999974","3.8699999999999974","6.256","0","0","0","0","1","0","0","5.844999999999999","0","0","0","0","0","2","_c86bc6d82e5a0000_p_Net","0","0","0","1","0","0","0","0","0","0","1","_c86bc6d82e5a0000_p_odb__dbNet","0.0","0.0","0.0","30.0288","30.0288","","30.0288","3.8699999999999974","1","3.8699999999999974","3.8699999999999974","3.8699999999999974","48.76","42.16","48.76","42.16","1","0","0","0","48.76","","42.16","","2"
"_0031_","OK","0.8932000000000064","0.1139285713878837","58.0585","114.43799999999999","0.3190000000000026","2.799999999999997","6.2379999999999995","58.218","57.899","115.838","113.038","0","5.019999999999996","5.019999999999996","5.019999999999996","5.0048","0","0","0","0","1","0","0","3.1189999999999998","0","0","0","0","0","2","_406cc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_406cc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.019999999999996","1","5.019999999999996","5.019999999999996","5.019999999999996","55.2","115.6","55.2","115.6","0","1","0","0","55.2","","115.6","","2"
"_0032_","OK","2.277205999999996","0.26580116150809624","42.45","16.4545","0.7779999999999987","2.9269999999999996","7.409999999999997","42.839","42.061","17.918","14.991","0","4.559999999999995","4.559999999999995","4.559999999999995","5.0048","0","0","0","0","1","0","0","3.7049999999999983","0","0","0","0","0","2","_b86cc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_b86cc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","4.559999999999995","1","4.559999999999995","4.559999999999995","4.559999999999995","45.08","17.68","45.08","17.68","1","0","0","0","45.08","","17.68","","2"
"_0033_","OK","3.9680270000000015","0.6283326698653673","46.5305","13.464500000000001","1.5790000000000006","2.513","8.184000000000001","47.32","45.741","14.721","12.208","0","4.559999999999997","4.559999999999997","4.559999999999997","5.0048","0","0","0","0","1","0","0","4.0920000000000005","0","0","0","0","0","2","_306dc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_306dc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","4.559999999999997","1","4.559999999999997","4.559999999999997","4.559999999999997","48.76","14.96","48.76","14.96","1","0","0","0","48.76","","14.96","","2"
"_0034_","OK","1.3493700000000148","0.0504835589844331","51.1305","20.503","0.2610000000000028","5.170000000000002","10.862000000000009","51.261","51.0","23.088","17.918","0","9.120000000000001","9.120000000000001","9.120000000000001","5.0048","0","0","0","0","1","0","0","5.4310000000000045","0","0","0","0","0","2","_a86dc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_a86dc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","9.120000000000001","1","9.120000000000001","9.120000000000001","9.120000000000001","54.28","17.68","54.28","17.68","0","0","0","1","54.28","","17.68","","2"
"_0035_","OK","18.43424599999998","2.151691150614385","36.669","21.8945","6.297999999999995","2.9269999999999996","18.44999999999999","39.818","33.52","23.358","20.431","0","6.400000000000002","6.400000000000002","6.400000000000002","5.0048","0","0","0","0","1","0","0","9.224999999999994","0","0","0","0","0","2","_206ec6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_206ec6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","6.400000000000002","1","6.400000000000002","6.400000000000002","6.400000000000002","36.8","23.12","36.8","23.12","1","0","0","0","36.8","","23.12","","2"
"_0036_","OK","13.535059999999993","0.5063829786254576","27.469","15.062999999999999","2.6179999999999986","5.17","15.575999999999997","28.778","26.16","17.648","12.478","0","5.4399999999999995","5.4399999999999995","5.4399999999999995","5.0048","0","0","0","0","1","0","0","7.7879999999999985","0","0","0","0","0","2","_986ec6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_986ec6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.4399999999999995","1","5.4399999999999995","5.4399999999999995","5.4399999999999995","25.76","12.24","25.76","12.24","0","0","1","0","25.76","","12.24","","2"
"_0037_","OK","16.739512999999995","1.9538776898005201","16.8605","16.1845","5.718999999999999","2.9269999999999996","17.291999999999998","19.72","14.001","17.648","14.721","0","5.02","5.02","5.02","5.0048","0","0","0","0","1","0","0","8.645999999999999","0","0","0","0","0","2","_106fc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_106fc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.02","1","5.02","5.02","5.02","17.02","14.96","17.02","14.96","0","0","0","1","17.02","","14.96","","2"
"_0038_","OK","15.741405999999998","1.837376152430005","14.39","21.8945","5.378","2.9269999999999996","16.61","17.079","11.701","23.358","20.431","0","5.480000000000002","5.480000000000002","5.480000000000002","5.0048","0","0","0","0","1","0","0","8.305","0","0","0","0","0","2","_886fc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_886fc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.480000000000002","1","5.480000000000002","5.480000000000002","5.480000000000002","14.72","23.12","14.72","23.12","1","0","0","0","14.72","","23.12","","2"
"_0039_","OK","8.163430000000004","0.3054158606759352","17.4085","15.062999999999999","1.5790000000000006","5.17","13.498000000000001","18.198","16.619","17.648","12.478","0","7.279999999999999","7.279999999999999","7.279999999999999","5.0048","0","0","0","0","1","0","0","6.7490000000000006","0","0","0","0","0","2","_0070c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_0070c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","7.279999999999999","1","7.279999999999999","7.279999999999999","7.279999999999999","15.18","12.24","15.18","12.24","0","0","1","0","15.18","","12.24","","2"
"_0040_","OK","0.7639469999999976","0.08916979839796019","23.070500000000003","16.1845","0.26099999999999923","2.9269999999999996","6.375999999999998","23.201","22.94","17.648","14.721","0","6.399999999999999","6.399999999999999","6.399999999999999","5.0048","0","0","0","0","1","0","0","3.187999999999999","0","0","0","0","0","2","_7870c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_7870c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","6.399999999999999","1","6.399999999999999","6.399999999999999","6.399999999999999","26.22","14.96","26.22","14.96","0","0","0","1","26.22","","14.96","","2"
"_0041_","OK","2.967852999999993","0.46995622742938364","32.7305","13.464500000000001","1.1809999999999974","2.513","7.387999999999995","33.321","32.14","14.721","12.208","0","7.320000000000006","7.320000000000006","7.320000000000006","5.0048","0","0","0","0","1","0","0","3.6939999999999973","0","0","0","0","0","2","_f070c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_f070c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","7.320000000000006","1","7.320000000000006","7.320000000000006","7.320000000000006","36.34","14.96","36.34","14.96","1","0","0","0","36.34","","14.96","","2"
"_0042_","OK","3.8247859999999987","0.6056506165516701","38.540000000000006","18.9045","1.5219999999999985","2.5130000000000017","8.07","39.301","37.779","20.161","17.648","0","6.859999999999999","6.859999999999999","6.859999999999999","5.0048","0","0","0","0","1","0","0","4.035","0","0","0","0","0","2","_6871c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_6871c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","6.859999999999999","1","6.859999999999999","6.859999999999999","6.859999999999999","42.32","20.4","42.32","20.4","1","0","0","0","42.32","","20.4","","2"
