net_name,status,bbox_area,bbox_aspect,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_perimeter,bbox_xmax,bbox_xmin,bbox_ymax,bbox_ymin,bterm_count,dist_drv_sink_max,dist_drv_sink_mean,dist_drv_sink_sum,driver_inst_area,driver_is_buf,driver_is_clkbuf,driver_is_ff_q,driver_is_inv,fanout,has_bterm,has_multiple_drivers,hpwl,is_bus_bit,is_clock_like,is_enable_like,is_reg2reg_candidate,is_reset_like,iterm_count,net_dbid,num_buf_drivers,num_buf_sinks,num_clkbuf_drivers,num_drivers,num_ff_sinks_d,num_inout,num_inv_drivers,num_inv_sinks,num_port_drivers,num_port_sinks,num_sinks,odb_net,sink_area_buf_sum,sink_area_ff_sum,sink_area_inv_sum,sink_area_max,sink_area_mean,sink_area_std,sink_area_sum,sink_centroid_dist_to_driver,sink_cnt,sink_dist_p50,sink_dist_p90,sink_dist_p95,sink_max_x,sink_max_y,sink_min_x,sink_min_y,sink_quadrant_q1,sink_quadrant_q2,sink_quadrant_q3,sink_quadrant_q4,sink_x_mean,sink_x_std,sink_y_mean,sink_y_std,term_count
"_0000_","OK","8.903100000000011","1.0230508471108295","44.692","87.16300000000001","3.0180000000000007","2.950000000000003","11.936000000000007","46.201","43.183","88.638","85.688","0","8.93","8.93","8.93","3.7536","0","0","0","0","1","0","0","5.9680000000000035","0","0","0","0","0","2","_b85dc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_b85dc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","8.93","1","8.93","8.93","8.93","49.22","88.4","49.22","88.4","1","0","0","0","49.22","","88.4","","2"
"_0001_","OK","4.460071999999984","0.5152957170240333","42.358999999999995","70.84700000000001","1.5159999999999982","2.941999999999993","8.915999999999983","43.117","41.601","72.318","69.376","0","4.099999999999994","4.099999999999994","4.099999999999994","5.0048","0","0","0","0","1","0","0","4.457999999999991","0","0","0","0","0","2","_305ec6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_305ec6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","4.099999999999994","1","4.099999999999994","4.099999999999994","4.099999999999994","44.62","72.08","44.62","72.08","1","0","0","0","44.62","","72.08","","2"
"_0002_","OK","22.71174500000003","0.6679814781910512","50.7505","118.36250000000001","3.895000000000003","5.831000000000003","19.452000000000012","52.698","48.803","121.278","115.447","0","5.670000000000009","5.670000000000009","5.670000000000009","6.256","0","0","0","0","1","0","0","9.726000000000006","0","0","0","0","0","2","_a85ec6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_a85ec6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.670000000000009","1","5.670000000000009","5.670000000000009","5.670000000000009","49.68","121.04","49.68","121.04","0","1","0","0","49.68","","121.04","","2"
"_0003_","OK","1.1487740000000295","0.03551960611297446","40.782","64.03450000000001","0.2020000000000053","5.686999999999998","11.778000000000006","40.883","40.681","66.878","61.191","0","8.43","8.43","8.43","3.7536","0","0","0","0","1","0","0","5.889000000000003","0","0","0","0","0","2","_205fc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_205fc6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","8.43","1","8.43","8.43","8.43","43.7","66.64","43.7","66.64","1","0","0","0","43.7","","66.64","","2"
"_0004_","OK","10.857131999999993","1.4707397859879505","7.718","114.2465","3.9959999999999996","2.7169999999999987","13.425999999999997","9.716","5.72","115.605","112.888","0","4.1","4.1","4.1","3.7536","0","0","0","0","1","0","0","6.712999999999998","0","0","0","0","0","2","_985fc6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_985fc6d82e5a0000_p_odb__dbNet","0.0","23.772800000000004","0.0","23.772800000000004","23.772800000000004","","23.772800000000004","4.1","1","4.1","4.1","4.1","8.51","115.6","8.51","115.6","1","0","0","0","8.51","","115.6","","2"
"_0005_","OK","7.514820000000025","1.2120481922843132","14.646999999999998","84.443","3.017999999999999","2.490000000000009","11.016000000000016","16.156","13.138","85.688","83.198","0","9.620000000000012","9.620000000000012","9.620000000000012","3.7536","0","0","0","0","1","0","0","5.508000000000008","0","0","0","0","0","2","_1060c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_1060c6d82e5a0000_p_odb__dbNet","0.0","28.777600000000003","0.0","28.777600000000003","28.777600000000003","","28.777600000000003","9.620000000000012","1","9.620000000000012","9.620000000000012","9.620000000000012","9.43","82.96","9.43","82.96","0","0","1","0","9.43","","82.96","","2"
"_0006_","OK","0.33074200000000126","0.04500184432128272","60.916","78.8305","0.12199999999999989","2.7110000000000127","5.666000000000025","60.977","60.855","80.186","77.475","0","6.170000000000002","6.170000000000002","6.170000000000002","7.5072","0","0","0","0","1","0","0","2.8330000000000126","0","0","0","0","0","2","_8860c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_8860c6d82e5a0000_p_odb__dbNet","0.0","26.2752","0.0","26.2752","26.2752","","26.2752","6.170000000000002","1","6.170000000000002","6.170000000000002","6.170000000000002","63.71","77.52","63.71","77.52","0","0","0","1","63.71","","77.52","","2"
"_0007_","OK","4.154435999999993","0.47448462302315314","56.103","92.3605","1.4039999999999964","2.959000000000003","8.725999999999999","56.805","55.401","93.84","90.881","0","3.1799999999999997","3.1799999999999997","3.1799999999999997","7.5072","0","0","0","0","1","0","0","4.3629999999999995","0","0","0","0","0","2","_0061c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_0061c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","3.1799999999999997","1","3.1799999999999997","3.1799999999999997","3.1799999999999997","58.42","91.12","58.42","91.12","0","0","0","1","58.42","","91.12","","2"
"_0008_","OK","10.71684600000002","1.6327088205961293","53.352500000000006","40.959","4.183","2.5620000000000047","13.490000000000009","55.444","51.261","42.24","39.678","0","5.479999999999997","5.479999999999997","5.479999999999997","10.0096","0","0","0","0","1","0","0","6.7450000000000045","0","0","0","0","0","2","_7861c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_7861c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.479999999999997","1","5.479999999999997","5.479999999999997","5.479999999999997","54.28","39.44","54.28","39.44","0","0","0","1","54.28","","39.44","","2"
"_0009_","OK","12.610922999999968","2.0487706561673673","65.3365","46.1205","5.082999999999998","2.4809999999999945","15.127999999999986","67.878","62.795","47.361","44.88","0","5.939999999999998","5.939999999999998","5.939999999999998","7.5072","0","0","0","0","1","0","0","7.563999999999993","0","0","0","0","0","2","_f061c6d82e5a0000_p_Net","0","0","0","1","1","0","0","0","0","0","1","_f061c6d82e5a0000_p_odb__dbNet","0.0","25.024","0.0","25.024","25.024","","25.024","5.939999999999998","1","5.939999999999998","5.939999999999998","5.939999999999998","64.86","47.6","64.86","47.6","0","1","0","0","64.86","","47.6","","2"
