train_blocks,test_blocks,feature_mode,N_test_endpoints,N_test_groups,K_violating,Recall@K,NDCG@K,Spearman,Heur_HPWL_Recall@K,Heur_HPWL_Spearman,Heur_Fanout_Recall@K,Heur_Fanout_Spearman
"pcm_slv_top,FIR_filter",spi_top,full,229,1,74,0.22972972972972974,-4.461888760670007,-0.07993564697770628,0.20270270270270271,-0.31195307318082416,0.5540540540540541,
"pcm_slv_top,FIR_filter",spi_top,no_spatial,229,1,74,0.22972972972972974,-4.2006463668881375,-0.06928244113858129,0.20270270270270271,-0.31195307318082416,0.5540540540540541,
"pcm_slv_top,FIR_filter",spi_top,only_baseline,229,1,74,0.47297297297297297,-1.5615320156175005,0.21999506248266287,0.20270270270270271,-0.31195307318082416,0.5540540540540541,
