idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_506_/Q (sky130_fd_sc_hd__dfxtp_2)","_610_/D (sky130_fd_sc_hd__dfxtp_2)","_506_/Q","_610_/D","_506_/Q","_610_/D","2.543",2.543166,9,OK
2,"_506_/Q (sky130_fd_sc_hd__dfxtp_1)","_613_/D (sky130_fd_sc_hd__dfxtp_1)","_506_/Q","_613_/D","_506_/Q","_613_/D","2.639",2.639480,10,OK
3,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_558_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_558_/DE","_495_/Q","_558_/DE","2.889",2.889367,9,OK
4,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_560_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_560_/DE","_495_/Q","_560_/DE","2.889",2.889352,9,OK
5,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_561_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_561_/DE","_495_/Q","_561_/DE","2.889",2.889338,9,OK
6,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_557_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_557_/DE","_495_/Q","_557_/DE","2.89",2.889529,9,OK
7,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_562_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_562_/DE","_495_/Q","_562_/DE","2.89",2.889636,9,OK
8,"_506_/Q (sky130_fd_sc_hd__dfxtp_1)","_614_/D (sky130_fd_sc_hd__dfxtp_1)","_506_/Q","_614_/D","_506_/Q","_614_/D","2.908",2.908395,10,OK
9,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_573_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_573_/DE","_495_/Q","_573_/DE","2.929",2.929490,8,OK
