idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1006_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1006_/D","_1018_/Q","_1006_/D","1.232",1.232304,12,OK
2,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1013_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1013_/D","_1018_/Q","_1013_/D","1.237",1.237428,12,OK
3,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1015_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1015_/D","_1018_/Q","_1015_/D","1.25",1.249932,12,OK
4,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1005_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1005_/D","_1018_/Q","_1005_/D","1.252",1.251594,12,OK
5,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1014_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1014_/D","_1018_/Q","_1014_/D","1.253",1.252864,12,OK
6,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1016_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1016_/D","_1018_/Q","_1016_/D","1.254",1.254371,12,OK
7,"_1018_/Q (sky130_fd_sc_hd__dfrtp_1)","_1004_/D (sky130_fd_sc_hd__dfrtp_1)","_1018_/Q","_1004_/D","_1018_/Q","_1004_/D","1.619",1.619412,11,OK
