idx,start_raw,end_raw,from_tok,to_tok,from_name,to_name,slack_list,slack_found,n_nets_on_path,status
1,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_557_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_557_/DE","_495_/Q","_557_/DE","2.165",2.164736,12,OK
2,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_562_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_562_/DE","_495_/Q","_562_/DE","2.169",2.168616,12,OK
3,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_558_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_558_/DE","_495_/Q","_558_/DE","2.172",2.172294,12,OK
4,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_560_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_560_/DE","_495_/Q","_560_/DE","2.172",2.172210,12,OK
5,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_561_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_561_/DE","_495_/Q","_561_/DE","2.172",2.172293,12,OK
6,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_573_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_573_/DE","_495_/Q","_573_/DE","2.216",2.215595,11,OK
7,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_578_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_578_/DE","_495_/Q","_578_/DE","2.219",2.219452,11,OK
8,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_576_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_576_/DE","_495_/Q","_576_/DE","2.223",2.223119,11,OK
9,"_495_/Q (sky130_fd_sc_hd__edfxtp_1)","_577_/DE (sky130_fd_sc_hd__edfxtp_1)","_495_/Q","_577_/DE","_495_/Q","_577_/DE","2.223",2.223214,11,OK
