Total paths: 165
Negative slack paths: 0
Top 5.0% worst paths (count=9):
Startpoint	Endpoint	Slack
_407_/Q (sky130_fd_sc_hd__dfxtp_4)	_407_/D (sky130_fd_sc_hd__dfxtp_4)	0.575
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_315_/DE (sky130_fd_sc_hd__edfxtp_1)	1.06
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_317_/DE (sky130_fd_sc_hd__edfxtp_1)	1.06
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_331_/DE (sky130_fd_sc_hd__edfxtp_1)	1.066
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_333_/DE (sky130_fd_sc_hd__edfxtp_1)	1.066
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_314_/DE (sky130_fd_sc_hd__edfxtp_1)	1.068
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_316_/DE (sky130_fd_sc_hd__edfxtp_1)	1.068
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_341_/DE (sky130_fd_sc_hd__edfxtp_1)	1.069
_380_/Q (sky130_fd_sc_hd__edfxtp_1)	_323_/DE (sky130_fd_sc_hd__edfxtp_1)	1.072
